food_id,name_kr,serving_g,carb_g,protein_g,fat_g,sugar_g,sodium_mg
oisaengcae,오이생채,50.0,4.6255,0.885,0.496,1.5150000000000001,269.314
pamucim,파무침,150.0,19.474500000000003,3.8175,5.406,8.367,693.834
sangcugeotjeoli,상추겉절이,200.0,17.988,5.648000000000001,6.246,1.998,952.32
ssuggasnamulmucim,쑥갓나물무침,150.0,8.784,5.485499999999999,6.5055,0.0,700.1205
ceongpomugmucim,청포묵무침,250.0,19.675,2.955,4.225,13.7375,756.74
haeparinaengcae,해파리냉채,150.0,13.827,6.631500000000001,1.5450000000000004,7.4925,490.12799999999993
gajinamul,가지나물,50.0,3.0310000000000006,0.7320000000000001,1.2719999999999998,0.0,159.1745
gosarinamul,고사리나물,50.0,3.799,1.9655,3.2625,0.0,251.53
dorajinamul,도라지나물,50.0,5.335,0.6695000000000001,3.819,0.0,256.66749999999996
munamul,무나물,50.0,3.042,0.5755,2.563,0.0,293.5195
minarinamul,미나리나물,50.0,2.5595000000000003,0.9899999999999999,2.138,0.0,165.524
sugjunamul,숙주나물,50.0,1.559,1.312,1.347,0.0,186.733
sigeumcinamul,시금치나물,50.0,3.815,2.069,2.3685,0.0,217.2565
cwinamul,취나물,50.0,3.4555,1.5965,6.714499999999999,0.0,288.6495
kongnamul,콩나물,50.0,1.1449999999999998,1.6395,1.9789999999999999,0.0,203.4965
gogumajulginamul,고구마줄기나물,50.0,2.9685,0.6285000000000001,2.2385,0.0,255.7095
ugeojinamulmucim,우거지나물무침,150.0,10.282500000000002,5.076,8.661000000000001,1.4985,774.5475
golbaengimucim,골뱅이무침,100.0,15.558,7.905,2.298,6.0600000000000005,515.92
gimmucim,김무침,30.0,12.188099999999999,4.7094,4.1247,6.932099999999999,498.6338999999998
miyeogcomucim,미역초무침,50.0,5.698500000000001,1.0715000000000001,0.5399999999999999,3.996,285.8
bugeocaemucim,북어채무침,150.0,31.332,37.365999999999985,5.802999999999998,18.02458,1048.5300000000004
hoemucim,회무침,300.0,42.879200000000004,27.177700000000005,4.2562999999999995,26.412000000000003,1253.2525
jwicicae,쥐치채,20.0,10.177200000000001,2.7684,0.19800000000000004,6.6036,289.4502
paraemucim,파래무침,30.0,5.429100000000001,2.3396999999999997,0.6897,0.8990999999999999,252.04500000000002
hongeomucim,홍어무침,200.0,24.898,21.640000000000004,2.274,9.434,817.424
golbaengigugsumucim,골뱅이국수무침,230.0,39.6333,10.524600000000003,7.014600000000001,0.0,911.7441000000001
ojingeomucim,오징어무침,200.0,13.5522,38.66760000000001,4.1904,0.0,682.389
jabcae,잡채,150.0,37.47449999999999,2.5935,4.7010000000000005,2.988,664.7505
tangpyeongcae,탕평채,100.0,10.196,3.529,3.113,6.993,247.419
gasgimci,갓김치,50.0,5.211500000000001,1.9825,0.7015,0.4235,447.77400000000006
godeulbbaegi,고들빼기,50.0,11.994,2.206,0.5640000000000001,0.0,733.749
ggagdugi,깍두기,50.0,3.9449999999999994,0.9974999999999998,0.22699999999999998,0.05,338.876
ggaesipgimci,깻잎김치,150.0,23.2665,6.096,3.1605,2.988,1907.6415000000004
nabaggimci,나박김치,100.0,2.255,0.63,0.42,0.01,509.472
dongcimi,동치미,400.0,14.26,2.696,0.64,0.0,2313.584
baecugeotjeoli,배추겉절이,50.0,4.484499999999999,0.9405000000000001,0.503,0.996,325.406
baecugimci,배추김치,50.0,4.154999999999999,1.145,0.2975,0.498,309.5255
baeggimci,백김치,50.0,4.3755,0.798,0.2645,0.0,211.718
bucugimci,부추김치,50.0,6.2875,1.875,0.5694999999999999,3.486,399.378
yeolmugimci,열무김치,50.0,3.1555,1.3430000000000002,0.34850000000000003,1.195,308.349
yeolmueolgaligimci,열무얼갈이김치,50.0,3.0254999999999996,1.2690000000000001,0.40349999999999997,0.0,344.2010000000001
oisobagi,오이소박이,50.0,2.9565,0.9424999999999998,0.532,1.195,276.19350000000003
conggaggimci,총각김치,50.0,3.436000000000001,1.03,0.369,0.0,347.17049999999995
pagimci,파김치,50.0,5.4719999999999995,1.5545,0.702,0.996,395.8649999999999
ganjanggejang,간장게장,250.0,13.884999999999998,32.665,2.0875,0.17024999999999998,3075.5325
maneuljjongjangajji,마늘쫑장아찌,50.0,6.1875,1.045,0.13,2.3475,778.6005
gocujangajji,고추장아찌,30.0,4.1814,0.8034000000000001,0.0882,2.997,787.299
ggaesipjangajji,깻잎장아찌,30.0,7.872299999999999,2.1138,0.3575999999999999,2.7816899999999998,568.7526000000001
maneuljangajji,마늘장아찌,30.0,3.0663,0.7872,0.020399999999999998,0.29969999999999997,481.749
mujangajji,무장아찌,30.0,5.31465,0.5669400000000001,0.26070000000000004,3.2967000000000004,933.28224
yangnyeomgejang,양념게장,200.0,46.330000000000005,20.41,2.0580000000000003,26.520000000000003,1747.8440000000003
yangpajangajji,양파장아찌,50.0,3.5385,0.577,0.05,1.4985,423.605
oiji,오이지,50.0,2.392,1.144,0.312,0.0,925.9975000000001
mupikeul,무피클,50.0,4.192,0.404,0.052000000000000005,1.992,6.6
oipikeul,오이피클,50.0,14.642,0.304,0.152,1.992,333.6
danmuji,단무지,30.0,0.6640999999999999,0.11290000000000001,0.1632,0.2299,173.55040000000002
ojingeojeosgal,오징어젓갈,10.0,0.29359999999999997,1.2384,0.09768,0.0,179.109
myeongranjeos,명란젓,10.0,0.27,2.0500000000000003,0.30000000000000004,0.0,353.1
saengyeoneo,생연어,100.0,1.002,20.908,1.938,0.0,213.06
saengseonmulhoe,생선물회,800.0,81.4548,36.7668,14.128800000000002,29.3748,2986.2335999999996
gwangeohoe,광어회,100.0,9.34,17.2,1.36,5.46,754.4
hunjeyeoneo,훈제연어,100.0,9.34,19.279999999999998,6.16,5.46,1260.8
yughoe,육회,150.0,15.946499999999999,25.032000000000004,8.049,7.0425,433.42350000000005
yugsasimi,육사시미,150.0,6.959999999999999,29.279999999999998,6.074999999999999,4.095,888.03
garaeddeog,가래떡,100.0,45.045,3.52,0.325,0.0,254.681
gyeongdan,경단,100.0,67.042,6.584,0.538,0.0,186.364
ggulddeog,꿀떡,100.0,50.356,3.236,0.761,9.5805,251.339
siruddeog,시루떡,100.0,49.029,5.5,0.275,5.994,278.948
memiljeonbyeong,메밀전병,100.0,24.821,5.792,5.496,0.0,340.662
calddeog,찰떡,100.0,44.876,5.807,1.24,5.495,236.819
mujigaeddeog,무지개떡,100.0,48.698,4.004,0.865,6.993,277.709
baegseolgi,백설기,100.0,48.195,4.044,0.792,11.988,296.946
songpyeon,송편,100.0,46.821,4.17,2.698,1.5163000000000002,236.545
susubuggumi,수수부꾸미,100.0,46.151,5.498,5.668,2.997,270.036
susupatddeog,수수팥떡,100.0,45.17,5.98,0.678,0.999,236.379
ssugddeog,쑥떡,100.0,54.64,4.531,0.45,9.99,256.148
yagsig,약식,100.0,48.882,3.827,2.27,7.992,290.644
